Description,Synonyms
tuberculosis,"['mycobacter tuberculosis', 'tuberculosis (diagnosis)', 'tb (tuberculosis)', 'infection due to mycobacterium tuberculosis (disorder)', 'koch; infection', 'mycobacterium tuberculosis infection', 'tuberculosis [disease/finding]', 'tuberculous (qualifier value)', 'tuberculosis, nos', 'tb - tuberculosis', 'tuberculous (disorder)', 'mtb - mycobacter tuberculosis', 'tuberculosis (disorder)', 'infection; tuberculous', 'tuberculosis; general', 'tuberculoses', 'infection due to mycobacterium tuberculosis', 'tb', 'tuberculous', 'kochs disease', 'tuberculosis (tb)', 'infection tbc', 'koch disease', ""disease, koch's"", 'tuberculosis', 'tbc', 'tuberculosis (a15-a19)', 'infection; koch', 'tuberculosis; infection', 'disease, kochs', 'mtb - mycobacterium tuberculosis infection', ""koch's disease"", 'tuberculous infections', 'tuberculosis nos', 'tuberculosis nos (disorder)', 'infection tuberculosis', 'tuberculosis infection', 'e-148-14b tuberculosis']"
hippocampal volume,[]
bladder carcinoma,"['urinary bladder carcinoma', 'cancer of urinary bladder', 'carcinoma of bladder', 'bladder carcinoma urinary', 'carcinoma of bladder (disorder)', 'carcinoma of bladder (diagnosis)', 'carcinoma urinary bladder', 'carcinoma of the bladder', 'carcinoma of the urinary bladder', 'bladder cancer', 'carcinoma bladder', 'cancer of the urinary bladder', 'bladder carcinoma nos', 'urinary bladder cancer', 'cancer of the bladder', 'cancer of bladder', 'carcinoma of urinary bladder', 'bladder carcinoma', 'bladder cancer, carcinoma', 'carcinoma;bladder']"
biliary atresia,"['ehba', 'atresia; bile duct', 'atresia of bile duct', 'congenital biliary atresia', 'atresia of bile ducts (diagnosis)', 'impervious; bile duct', 'congenital bile duct atresia', 'biliary atresia (diagnosis)', 'extrahepatic biliary atresias', 'congenital biliary atresia (disorder)', 'atresia, extrahepatic biliary', 'biliary atresia nos (disorder)', 'ba - biliary atresia', 'atresia of bile ducts', 'bile duct; atresia', 'primary biliary atresia', 'biliary atresia, extrahepatic', 'atresia biliary', 'biliary atresia', 'atresia;biliary', 'biliary atresia [disease/finding]', 'congenital biliary atresia (diagnosis)', 'ehba - extrahepatic biliary atresia', 'biliary atresia, congenital', 'congenital atresia of extrahepatic bile duct (disorder)', 'congenital atresia of extrahepatic bile duct', 'biliary atresia nos', 'atresias, extrahepatic biliary', 'extrahepatic atresia of bile duct', 'atresia bile ducts', 'biliary atresias, extrahepatic', 'atresia, biliary', 'bile duct; impervious', 'extrahepatic biliary atresia']"
hirschsprung disease,"['mgc', 'hirschsprung disease', 'hscr1', 'hscr', 'hirschsprung disease 1', 'aganglionic megacolon', 'hirschsprung disease, susceptibility to, 1', 'megacolon, aganglionic', 'hirschsprung disease type 1', 'disease, hirschsprung', 'aganglionosis', 'pelvirectal achalasia', 'hirschsprungs disease', 'megacolon congenital', ""hirschsprung's disease"", ""hirschsprung's disease nos (disorder)"", 'congenital megacolon (disorder)', 'megacolon, congenital', ""disease hirschsprung's"", ""hirschsprung's disease nos"", 'hirschsprung dis', 'hirschsprung disease [disease/finding]', 'megacolon congen', 'disease hirschsprung', 'diseases hirschsprung', 'aganglionic megacolon', 'congen megacolon', 'congenital megacolon', 'macrocolon (disorder)', 'congenital (aganglionic) megacolon', 'hirschsprungs dis', 'congenit aganglionic megacolon', 'congenital; megacolon', 'disease;hirschsprungs', 'disease hirschsprungs', 'hirschsprung', ""hd - hirschsprung's disease"", 'macrocolon (diagnosis)', 'hirshsprungs disease', 'macrocolon (finding)', 'aganglionic megacolon (diagnosis)', ""hirschsprung's disease [ambiguous]"", 'hirschsprung disease', 'megacolon; congenital', 'megacolon;congenital', ""disease, hirschsprung's"", 'congenital aganglionic megacolon', 'megacolon, aganglionic', ""hirschsprung's disease (disorder)"", 'macrocolon']"
Glycated hemoglobin levels,[]
lipoprotein-associated phospholipase a(2) measurement,[]
Intracranial volume,[]
forced expiratory volume,"['fev', 'forced expiratory volume', 'forced expiratory volume procedure', 'volumes, forced expiratory', 'timed vital capacities', 'capacity, timed vital', 'forced expired volume', 'forced expiratory volume function', 'timed vital capac', 'fev - forced expired volume', 'forced vital capacity, timed', 'timed vital capacity', 'fev', 'fast vital capacity', 'forced vital capac timed', 'forced expiratory volumes', 'forced expiratory volume (fevtime)', 'vital capac timed', 'forced expiratory volume (function)', 'fev<sub>time</sub>', 'volume, forced expiratory', 'capacities, timed vital', 'forced expired volume (observable entity)', 'forced expiratory volume, function (observable entity)', 'fev>time<', 'expiratory volumes, forced', 'forced expiratory volume', 'vital capacity, timed', 'fevt', 'expiratory volume, forced', 'vital capacities, timed', 'fev time']"
visceral Leishmaniasis,"['infection by leishmania donovani (disorder)', 'sirkari disease', 'mediterranean leishmaniasis', 'visceral leishmaniasis', 'indian visceral leishmaniasis', 'dum-dum fever', 'dumdum fever', 'infection by leishmania donovani (disorder) [ambiguous]', 'infection by visceral leishmaniasis', 'sahib', 'kala azar', 'fever; assam', 'burdwan fever', 'kala-azar leishmaniasis', 'ponos', 'visceral; leishmaniasis', 'leishmaniasis, visceral', 'leishmaniasis; visceral', 'vl - visceral leishmaniasis', 'visceral leishmaniasis (disorder)', 'fever; dumdum', 'assam fever', 'fever; burdwan', 'leishmania; infection, donovani', 'dumdum; fever', 'leishmaniasis visceral', 'burdwan; fever', 'infection by leishmania donovani', 'leishmaniasis, visceral [disease/finding]', 'dum dum fever', 'azar kala', 'visceral [kala-azar] leishmaniasis', 'mard el bicha', 'fever, black', 'leishmaniasis visceral (kala-azar)', 'leishmania donovani infection', 'black fever', 'infection; leishmania, donovani', 'infection by leishmania, donovani', 'kala-azar leishmaniasis (diagnosis)', 'fever, burdwan', 'assam; fever', 'kala-azar', 'fever, dumdum']"
Insulin-related traits,[]
Dupuytren's disease,"['dupuytrens contracture', 'dupuytrens disease', ""dupuytren's contracture of hand"", 'palmar fascial fibromatosis [dupuytren]', ""dupuytren's disease"", 'dupuytren', ""dupuytren's contracture syndrome"", 'dupuytren contracture [disease/finding]', 'dupuytren disease of palm', ""dupuytren's contracture"", 'dupuyt dis-palm + contracture', 'contractures dupuytrens', 'palmar fibromatosis (disorder)', 'dupuytren; contracture', ""dupuytren's contracture (diagnosis)"", 'fascia palmaris; retraction', 'contracture; dupuytren', ""dupuytren's disease of palm, with contracture"", ""dupytren's contracture"", ""contracture: (dupuytren's) or (palmar fascia) (disorder)"", 'contracture of palmar fascia', 'contracted palmar fascia', ""dupuytren's contracture was observed"", 'hand(s) dupuytrens contracture(s)', 'contracture, dupuytren', ""contracture dupuytrens's"", ""contracture, dupuytren's"", ""dupuytren's disease of palm (disorder)"", ""dupuytren's contracture (disorder)"", 'fibromatosis palmar', ""fibromatosis, dupuytren's"", 'dupuytren disease', ""dupuytren's disease of palm"", 'fibromatosis; palmar', ""contracture dupytren's"", ""contracture dupuytren's"", 'contracture dupuytren', 'palmar fibromatosis', ""dupuytren's disease (disorder)"", 'dupuytrens contracture of hand', ""dupuytren's contracture (physical finding)"", 'palmar fascia contracture', 'dupuytren disease of palm, with contracture', ""dupuytren's disease of palm, with contracture (disorder)"", 'retraction; fascia palmaris', 'dupuytren contracture', 'contracture of palmar fascia (disorder)', 'palmar fascial fibromatosis', 'contractures dupuytren', ""contracture: (dupuytren's) or (palmar fascia)"", 'palmar; fibromatosis', ""contractures dupuytren's""]"
chronic lymphocytic leukemia,"['bcll', 'chronic lymphocytic leukemia, b-cell', 'chronic lymphoblastic leukemia', 'chronic b-cell lymphocytic leukemia', 'b cell leukemia', 'lymphocytic lymphoma, diffuse, well-differentiated', 'cll', 'lymphomas, lymphocytic', 'leukemias, chronic b-cell', 'chronic lymphocytic leukaemia', 'lymphocytic lymphoma, well differentiated', 'b-cell cll', 'chronic lymphocytic leukemia of b-cell type nos', 'b-cell chronic lymphocytic leukaemia/small lymphocytic lymphoma', 'leukemia chronic lymphocytic', 'leukemia, chronic b-lymphocytic', 'b-cll - b-cell chronic lymphocytic leukaemia', 'leukemia b cell', 'lymphocytic leukemia, chronic, b-cell', 'small lymphoma', 'chronic lymphocytic leukemia, morphology (morphologic abnormality)', 'lymphoma lymphocytic diffuse well differ', 'lymphoplasmacytoid lymphoma, cll', 'chronic lymphogenous leukemia', 'b-cell chronic lymphoid leukemia', 'small-cell lymphoma', 'chronic b-cell lymphocytic leukemia (diagnosis)', 'cll lymphoplasmacytoid lymphoma', 'chronic b-lymphocytic leukemias', 'cll lymphoplasmacytoid lymphomas', 'b-cell chronic lymphocytic leukemia (disorder)', 'cll, b-cell', 'lymphomas, cll lymphoplasmacytoid', 'small-cell lymphomas', 'cll chronic lymphocytic leukemia', 'chronic lymphocytic leukemia, b-cell type', 'cll-chron lymphocyt leukemia', 'chronic lymphocytic leukemia of b-cell type', 'lymphoid leukemia, chronic', 'chronic lymphocytic leukemia', 'cll (chronic lymphocytic leukemia)', 'lymphoma, small lymphocytic, plasmacytoid', 'b-cell malignancy, low-grade', 'chronic lymphoid leukemia, disease (disorder)', 'chronic lymphocytic leukemia (cll)', 'lymphocytic leukemia, chronic, b cell', 'chronic b-cell lymphocytic leukemia (cll)', 'b-cell chronic lymphogenous leukemia', 'b lymphocytic leukemia, chronic', 'chronic lymphocytic leukemias', '[m]chronic lymphoid leukaemia', 'small lymphocytic lymphomas', 'b-lymphocytic leukemias, chronic', '[m]chronic lymphoid leukaemia (disorder)', 'lymphocytic lymphomas', 'lymphomas, small-cell', 'leukemia, b cell, chronic', 'b cell cll', 'leukemia, lymphoblastic, chronic', 'leukemias, chronic lymphoblastic', 'lymphoma, well-differentiated lymphocytic', 'lymphoma lymphocytic well differ', 'chronic lymphatic leukemia', 'diffuse well differ lymphocytic lymphoma', 'lymphatic; leukemia, chronic', 'chronic lymphocytic leukemia nos', 'chronic lymphoid leukemia, disease', 'chronic lymphoblastic leukemias', 'b-cell leukemia, chronic', 'b-cll - b-cell chronic lymphocytic leukemia', 'leukemia, lymphocytic, chronic', 'b-cell lymphocytic leukemia', 'b-cell leukemia', 'b-cell chronic lymphocytic leukaemia', 'chronic b-lymphocytic leukemia', 'chronic lymphoid leukemia', 'lymphoma, small lymphocytic', 'lymphoma, small-cell', 'lymphocytic lymphoma well differ', 'chronic lymphocytic leukemia, nos', 'lymphocytic lymphoma, small', 'cll - chronic lymphocytic leukemia', 'leukemia; lymphatic, chronic', 'leukemia, lymphocytic, chronic, b cell', 'lymphocytic lymphomas, well-differentiated', 'hematopoeitic - chronic lymphocytic leukemia (cll)', 'lymphoma, cll lymphoplasmacytoid', 'leukemia lymphocytic chronic (cll)', 'lymphomas, small lymphocytic', 'lymphocytic lymphoma', 'leukemia;chronic lymphocytic', 'chronic lymphatic leukaemia', 'lymphoma, small cell', 'chronic lymphocytic leukaemia nos', 'small cell lymphoma', 'leukemia, chronic lymphocytic', 'diffuse well-differentiated lymphocytic lymphoma', 'chronic lymphocytic leukaemia, b-cell type', 'b chronic lymphocytic leukemia', 'leukemia, lymphocytic, chronic, b-cell', 'lymphoblastic leukemia, chronic', 'b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality)', 'b-cell leukemias, chronic', 'b-cell chron lymphocyt leukaem', 'leukemias, chronic b-lymphocytic', 'b cell lymphocytic leukemia', 'leukemia, lymphocytic, chronic, b-cell [disease/finding]', 'leukemia, chronic lymphocytic (cll)', 'leukemia, chronic b-cell', 'leukemias chronic lymphocytic', 'disrupted in b-cell malignancy', 'lymphoplasmacytoid lymphomas, cll', 'clls', 'b-cell chronic lymphocytic leukemia', 'lymphocytic lymphomas, small', 'lymphoma, lymphocytic, diffuse, well differentiated', 'lymphoma, lymphocytic, well differentiated', 'chronic lymphoid leukaemia', 'lymphocytic lymphoma, well-differentiated', 'lymphomas, well-differentiated lymphocytic', 'lymphoma, lymphocytic, well-differentiated', 'lymphocytic leukemia chronic', 'lymphoblastic leukemias, chronic', 'b-lymphocytic leukemia, chronic', 'lymphocytic leukemias, chronic', '[m]chronic lymphoid leukemia', 'small lymphocytic lymphoma', 'leukemia, b-cell, chronic', 'cll-chron lymphocyt leukaemia', 'diffuse well differentiated lymphocytic lymphoma', 'leukaemia;chronic lymphocytic', 'lymphocytic leukemia, chronic', 'b-cll - b-cell chron lymp leuk', 'lymphoma, lymphocytic, diffuse, well-differentiated', 'lymphocytic lymphoma diffuse well differ', 'leukemia, chronic lymphatic', 'leukemia lymphocytic chronic', 'chronic b-cell leukemias', 'lymphocytic leukemia chronic b', 'b-lymphocytic leukemia', 'chronic leukemia lymphocytic', 'leukemia, b-cell chronic lymphocytic', 'leukaemias chronic lymphocytic', 'lymphoma, lymphoplasmacytoid, cll', 'lymphoma, lymphocytic', 'lymphocytic leukemia, b-cell chronic', 'b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma', 'lymphoid leukaemia, chronic', 'lymphoma small', 'b cell leukemia, chronic', 'well-differentiated lymphocytic lymphomas', 'chronic b-cell leukemia', 'cll - chronic lymphocytic leukaemia', 'b cell chronic lymphocytic leukemia', 'chronic lymphoid leukaemia, disease', 'leukemia, chronic lymphocytic, b-cell', 'well-differentiated lymphocytic lymphoma', 'lymphocytic lymphoma, diffuse, well differentiated', 'leukaemia lymphocytic chronic', 'chronic lymphocytic leukemia (diagnosis)']"
YKL-40 levels,[]
blood urea nitrogen measurement,"['urea nitrogen; quantitative', 'measurement of blood urea nitrogen (bun)', 'urea - blood', 'blood urea measurement', 'nitrogen, blood urea', 'measurement of urea nitrogen (bun)', 'urea blood', 'blood urea nitrogen measurement (procedure)', 'assay of urea nitrogen quantitative', 'bun', 'bun measurement', 'blood urea nitrogen measurement', 'blood urea (procedure)', 'assay of urea nitrogen', 'blood urea nitrogen', 'urea nitrogen, blood', 'blood urea nitrogen (bun) level test', 'blood urea', 'blood urea measurement (procedure)']"
Ankylosing spondylitis,"['marie-struempell disease', 'ankylosing spondylitis, nos', 'spondylitis; ankylopoietica', 'ankylosing spondylitis (disorder)', 'marie struempell disease', 'arthritis; spine or vertebra, ankylosing', 'marie struempell dis', 'spine or vertebra; arthritis, marie-str\xc3\xbcmpell', 'bechterew', 'rheumatoid; spondylitis', 'bechterews disease', 'spondylitis, marie-strumpell', 'marie-str\xc3\xbcmpell', 'spondyloarthritis ankylopoietica', 'marie strumpell spondylitis', 'von bechterew-struempell syndrome', ""bechterew's disease"", 'spondylarthritis, ankylosing', 'arthritis; spine or vertebra, marie-str\xc3\xbcmpell', 'bechterews dis', 'marie strumpell disease', 'spondylarthritis ankylopoietica', 'ankylosing; spondylitis', 'spondylitis; ankylosing', 'spondylitis; rheumatoid', 'ankylosing spondylitis (diagnosis)', 'spondylitis, rheumatoid', 'rheumatoid arthritis of spine', 'ankylosing spondyloarthritides', 'str\xc3\xbcmpell-marie', 'ankylosing spondylarthritis', 'marie-strumpell spondylitis', 'arthritis rheumatoid spine', 'bekhterev-strumpell-marie syndrome', 'ankylopoietica; spondylitis', 'as - ankylosing spondylitis', 'ankylosing spondylitis', 'rheumatoid spondylitis', 'spondylitis, ankylosing', 'ank spond', 'marie str\xc3\xbcmpell spondylitis', 'idiopathic ankylos spondylit', 'spondylitis ankylopoietica', 'spondylarthritides, ankylosing', 'spondyloarthritis, ankylosing', ""bekhterev's disease"", 'spine rheumatoid arthritis', 'bechterew disease', 'ankylosing spondylarthritides', 'ankylosing polyarthritis', 'spine or vertebra; arthritis, ankylosing', 'rheumatoid arthritis of spine, nos', 'rheumatioid arthritis of spine nos', 'disease;bechterews', 'spondylitis, ankylosing [disease/finding]', 'spondyloarthritides, ankylosing', 'marie-struempell spondylitis', 'marie-str\xc3\xbcmpell; spondylitis', 'rheumatoid; arthritis, spine', 'arthritis; rheumatoid, spine', 'bechterew dis', 'spondylitis ankylosing', 'ankylosing spondyloarthritis', 'idiopathic ankylosing spondylitis', 'von bechterew', 'spondylitis; marie-str\xc3\xbcmpell', 'marie-strumpell disease']"
Hippocampal atrophy,[]
Venous thromboembolism (gene x gene interaction),[]
Pulmonary function decline,[]
Erectile dysfunction,"['erectile dysfunction adverse event', 'erectile dysfunction', 'impotence, nos', 'impotence, male sexual', 'erection dysfunction', 'ed', 'failure; erection', 'dysfunction erectile', 'dysfunction;sexual;impotence', '[x] male erectile disorder', 'sexual impotence, nos', 'erection; failure', 'penile erection impairment', 'male erectile disorder (disorder)', 'disturbance; erectile', 'impotent', 'erectile dysfunction [disease/finding]', 'male erectile dysfunction, unspecified', 'erectile disturbance', 'impotence nos', 'dysfunction, erectile', 'erectile dysfunction', 'impotence (disorder)', 'erectile dysfunctions', 'erection failure', 'male erectile dysfunction', 'dysfunction erection', 'male sexual impotence', 'sexual impotence, male', 'failure of erection', 'erectile; disorder', '[x]male erectile disorder', 'dysfunctioning erectile', 'male erectile disorder (diagnosis)', 'male impotence', 'dysfunction;erection', 'impotence, male', 'male erectile disorder', 'erectile dysfunction nos', 'sexual impotence', 'male erectile dysfunction (diagnosis)', 'sexual impotence (finding)', 'impotence', 'disorder; erectile']"
gout,"['gout [disease/finding]', 'gout disorder', 'gout', 'gout nos', 'gout, nos', 'gout, unspecified, site unspecified', 'gout; in', 'gout (disorder)', 'gout (diagnosis)', 'gouts', 'gout, unspecified', 'gout nos (disorder)']"
Hematocrit,"['hematocrit', 'haematocrit', 'finding of hematocrit (finding)', 'hematocrit - finding', 'haematocrit - finding', 'hematocrit (hct)', 'hct - hematocrit', 'hematocrit level', 'finding of hematocrit', 'hematocrit levels', 'hct - haematocrit', 'finding of haematocrit', 'hematocrits', 'hematocrit - pcv - nos (procedure)', 'packed erythrocyte volumes', 'packed cell volume measurement (procedure)', 'erythrocyte volume, packed', 'volume, packed red-cell', 'hematocrit determination', 'hct - hematocrit', 'hematocrit (lab test)', 'whole blood hematocrit test', 'haematocrit (observable entity)', 'hematocrit', 'hct', 'pcv', 'haematocrit - pcv - nos (procedure)', 'haematocrit (procedure)', 'packed erythrocyte volume', 'hematocrit - pcv', 'blood count hematocrit', 'hematocrit - pcv - nos', 'hematocrit measurement', 'volumes, packed erythrocyte', 'red-cell volume, packed', 'haematocrit - pcv - nos', 'packed red cell volume', 'hematocrit procedure', 'hct - haematocrit', 'erythrocyte volumes, packed', 'haematocrit', 'hematocrit determination (procedure)', 'haematocrit determination', 'packed cell volume', 'volumes, packed red-cell', 'packed cell volume measurement', 'haematocrit - pcv', 'volume, packed erythrocyte', 'packed red-cell volume', 'measurement of hematocrit (hct)', 'packed cell volume (observable entity)', 'red-cell volumes, packed', 'packed red-cell volumes', 'hematocrit level test', 'blood count; hematocrit (hct)', 'hematocrit', 'hematocrit attribute']"
response to ribavirin,['response to ribavirin']
Immune reponse to smallpox (secreted IL-10),[]
Blood pressure,"['blood pressure taking', 'determinations, blood pressure', 'rnox take blood pressure', 'determination, blood pressure', 'blood pressure taking (procedure)', 'blood pressure', 'take blood pressure', 'rnox take blood pressure (treatment)', 'rnrx blood pressure', 'taking blood pressure', 'bp (blood pressure)', 'blood pressure determination', 'rnrx blood pressure (treatment)', 'blood pressure determinations', 'bp', 'blood pressure (physical finding)', 'measuring blood pressure', 'blood pressure taking, nos', 'sap-systemic arterial pressure', 'tensions, arterial', 'blood pressure arterial', 'blood pressure (observable entity)', 'abp - arterial blood pressure', 'pressure, arterial blood', 'bp - blood pressure', 'arterial pressure', 'systemic arterial pressure (observable entity)', 'blood pressures, arterial', 'blood pressure', 'blood pressure, arterial', 'tension, arterial', 'sbp - systemic blood pressure', 'arterial pressures', 'arterial tension', 'arterial blood pressure', 'blood pressures', 'systemic blood pressure (observable entity)', 'pressure, arterial', 'pressures, arterial blood', 'arterial blood pressures', 'blood pressure [dup] (observable entity)', 'pressures, arterial', 'arterial blood pressure (observable entity)', 'systemic arterial pressure', 'arterial tensions', 'systemic blood pressure', 'sap - systemic arterial pressure', 'blood pressure finding', 'blood pressure finding (finding)', 'blood pressure result', 'blood pressure', 'blood pressure, nos', 'blood pressure', 'blood pressure (observable entity)', 'bp', 'pressure, blood', 'bp - blood pressure']"
F-cell distribution,[]
glycoprotein measurement,[]
Major depressive disorder,"['unipolar depressive illness', 'depressions, unipolar', 'major depressive disorder', 'major depression', 'unipolar depression', 'unipolar depressions', 'depression, unipolar', 'depression unipolar', 'major depressive disorder (disorder)', 'depressive disorders, major', 'depressive disorder major', 'major depressive disorder nos', 'depressive disorder, major [disease/finding]', 'depressive dis major', 'major depressive disorder', 'major depression nos', 'major depression', 'major depression, nos', 'major depressive disorder, nos', 'major depressive disorders', 'disorders, major depressive', 'disorder, major depressive', 'major depressive dis', 'depressive disorder, major', 'mdd', 'major depressive illness']"
response to vitamin,['response to vitamin']
vasoactive peptide measurement,[]
platelet aggregation,"['platelet aggregation', 'platelet aggregation test result', 'aggregations platelet', 'aggregation platelets', 'aggregation platelet', 'platelet aggr', 'platelet aggregation test', 'platelet aggregation assay (qualifier value)', 'plataggr', 'platelet aggregation assay', 'platelet aggregation (lab test)', 'platelet function', 'platelet aggregation', 'platelet aggregation test, nos', 'platelet aggregation tests', 'platelet aggregation measurement', 'platelet aggregation nos', 'platelet aggregation test (procedure)', 'aggregometer test', 'aggregometer test, nos', 'aggregation, platelet', 'aggregation platelets', 'platelet aggregation, function', 'platelet aggregation process', 'blood platelet aggregation', 'platelet aggregation', 'platelet aggregation, function (observable entity)', 'aggregation platelet', 'platelet aggregation (qualifier value)', 'aggregations platelet']"
schizophrenia,"['disorders, schizophrenic', '[x]schizophrenia, unspecified', 'schizophrenia', 'unspecified schizophrenia, unspecified state', 'praecox; dementia', 'schizophrenic dis', 'schizophrenia (disorder)', 'unspecified schizophrenia (disorder)', 'unspecified schizophrenia, unspecified', 'disorders schizophrenic', 'disorders schizophrenia', 'dementia praecox', 'schizophrenia nos-unspec', 'type schizophrenia', 'disorder, schizophrenic', 'schizophrenia, nos', 'section 9-4 schizophrenias', 'schizophrenia, unspecified', 'disorders schizophrenics', 'disorder schizophrenia', 'schizophrenia nos', 'unspecified schizophrenia', 'schizophrenia type', 'disorder schizophrenic', 'sczd', 'schizophrenia [disease/finding]', 'schizophrenias', 'schizophrenia all types', 'schizophrenia nos (disorder)', 'schizophrenic disorder', 'schizophrenia types', 'schizophrenia (diagnosis)', 'schizophrenic disorders (disorder)', 'schizophrenia disorder', 'schizophrenic disorders', '[x]schizophrenia, unspecified (disorder)']"
leukocyte count,"['white blood cell count nos', 'leukocyte count', 'wbc count', 'whole blood leukocyte counts', 'numbers, leukocyte', 'number, leukocyte', 'leukocyte counts', 'white blood cell count (procedure)', 'leukocytes', 'leukocyte numbers', 'leukocyte count nos', 'count, leukocyte', 'white blood cell analysis', 'white blood cell count', 'leucocyte count', 'leukocyte count (lab test)', 'white cells', 'wcc - white blood cell count', 'white blood cell count - observation', 'white blood cell count procedure', 'white blood cells', 'leukocyte number', 'wbc - white blood cell count', 'counts, leukocyte', 'wbc', 'blood cell count, white']"
Vitamin D insufficiency,[]
Corneal astigmatism,"['corneal astigmatism', 'regular astigmatism - corneal (disorder)', 'regular astigmatism - corneal']"
nt-probnp measurement,[]
HbA2 levels,[]
brain measurement,[]
Activated partial thromboplastin time,"['activated partial thromboplastin time', 'aptt', 'activated partial thromboplastin time measurement', 'activated partial thromboplastin time (aptt) (lab test)', 'ptt', 'partial thromboplastin time activated', 'ptt, activated', 'plasma thromboplastin test', 'activated ptt', 'partial thromboplastin time', 'activated partial thromboplastin time (aptt) test', 'partial thromboplastin time, activated', 'aptt - activated partial thromboplastin time', 'partial thromboplastin time (ptt)', 'activated partial thromboplastin time (procedure)', 'thromboplastin time, partial', 'partial thromboplastin time (ptt) (lab test)', 'ptt assay', 'activated partial thromboplastin time (aptt)', 'partial thromboplastin time: ptt', 'ptt - partial thromboplastin time', 'partial thromboplastin time, activated (procedure)', 'partial thromboplastin time activated (procedure)', 'partial thromboplastin time (ptt)', 'ptt - partial thromboplastin time', 'ptt - part thromboplastin time', 'activated partial thromboplastin time results', 'activated partial thromboplastin time', 'aptt - act part thrombopl time', 'activ part thromboplastin time', 'aptt - activated partial thromboplastin time']"
otosclerosis,"['otosclerosis [disease/finding]', 'otosclerosis nos (disorder)', 'ots', 'otospongioses', 'otospongiosis, nos', 'otosclerosis, nos', 'otosclerosis, unspecified', 'otosclerosis (disorder)', 'otoscleroses', 'unspecified otosclerosis, unspecified ear', 'unspecified otosclerosis', 'otosclerosis (diagnosis)', 'otospongiosis', 'otosclerosis 1', 'otosclerosis nos', 'otosclerosis syndrome', 'otospongiosis syndrome', 'otsc1', 'otosclerosis']"
Basal cell carcinoma,"['tissue type code - basal cell carcinoma', 'basal cell carcinoma', 'nci ctep simple disease classification basal cell carcinoma sub-category terminology', 'nci ctep sdc basal cell carcinoma sub-category terminology', 'basal cell carcinoma', 'basal cell carcinoma of skin', 'basal cell carcinoma of skin (disorder)', 'ru - rodent ulcer', '[m]basal cell carcinoma nos', 'epitheliomas, basal cell', 'bcc - basal cell carc of skin', 'basal cell carcinomas', 'carcinoma, basal cell, skin', 'carcinoma of the skin, basal cell', 'rodent ulcers', 'carcinoma, basal cell', 'basal cell skin cancer', 'basal cell skin carcinoma', 'basiloma', 'basal cell carcinoma (morphologic abnormality)', 'basal cell carcinoma nos', 'ulcer;rodent', 'epithelioma, basal cell', 'basal cell cancer', 'basal cell epithelioma', 'epithelioma basal cell (disorder)', 'skin basal cell carcinoma', 'epithelioma basal cell', 'basal cell carcinoma of skin (diagnosis)', 'bcc - basal cell carcinoma of skin', 'basal cell carcinoma of the skin', 'basal cell carcinoma', 'carcinomas, basal cell', '[m]basal cell carcinoma nos (morphologic abnormality)', 'bcc - basal cell carcinoma', 'skin cancer, basal cell carcinoma', 'basalioma', 'basal cell carcinoma, nos', 'carcinoma, basal cell [disease/finding]', 'ulcer, rodent', 'rodent ulcer', 'basal cell epitheliomas', 'bcc', 'carcinoma, basal cell, malignant', 'ulcers, rodent', 'carcinoma basal cell', 'basal cell carcinoma pathway', 'basal cell carcinoma']"
Platelet aggregation,"['platelet aggregation', 'platelet aggregation test result', 'aggregations platelet', 'aggregation platelets', 'aggregation platelet', 'platelet aggr', 'platelet aggregation test', 'platelet aggregation assay (qualifier value)', 'plataggr', 'platelet aggregation assay', 'platelet aggregation (lab test)', 'platelet function', 'platelet aggregation', 'platelet aggregation test, nos', 'platelet aggregation tests', 'platelet aggregation measurement', 'platelet aggregation nos', 'platelet aggregation test (procedure)', 'aggregometer test', 'aggregometer test, nos', 'aggregation, platelet', 'aggregation platelets', 'platelet aggregation, function', 'platelet aggregation process', 'blood platelet aggregation', 'platelet aggregation', 'platelet aggregation, function (observable entity)', 'aggregation platelet', 'platelet aggregation (qualifier value)', 'aggregations platelet']"
prostate carcinoma,"['carcinoma of prostate (disorder)', 'carcinoma of prostate gland', 'cancer of the prostate', 'carcinoma, prostatic', 'prostate carcinoma', 'carcinoma of the prostate', 'cancer of prostate', 'prostate cancer, nos', 'prostatic cancer, carcinoma', 'carcinoma;prostate', 'ca - carcinoma of prostate', 'prostatic carcinoma', 'carcinoma prostatic', 'carcinoma of prostate', 'carcinoma of prostate gland (diagnosis)', 'prostate cancer', 'carcinoma prostate', 'prostate, carcinoma']"
rr interval,"['rr interval', 'ecg intervals r-r', 'rr interval', 'electrocardiogram: rr interval (procedure)', 'interval r r', 'r-r wave period', 'electrocardiogram rr interval', 'r-r interval', 'electrocardiogram: rr interval', 'r r interval']"
calcium measurement,"['assay of calcium', 'measurement of calcium', 'calcium; total', 'calcium level', 'calcium levels', 'ca', 'calcium measurement', 'calcium measurement, nos', 'calcium measurements', 'calcium', 'total calcium test', 'calcium total', 'ca++', 'calcium total each test', 'ca tot ea.tst', 'calcium level test', 'calcium measurement (procedure)']"
